Tabla;Code;Name;Modification Date;Format;Data Type;Primary;Mandatory;Formato Logico;columnaLegacy
1872;FH_CORTE;Fecha Corte para partición (CARGA);25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;FH_INFORMACION;Fecha de Información (GENERO CARGA);25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;NU_CTO;Número de Contrato;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(25);1872
1872;NU_CTE;Número de Cliente;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(8);1872
1872;CD_BANCO;Entidad de la cuenta;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_SUCURSAL;Sucursal u oficina;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;TP_CUENTA_CHEQUES;Cuenta de cheques tipo;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;NU_CTA;Cuenta de cheques cuenta;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(19);1872
1872;CD_TARJETA;Número de Trajeta complemento;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(19);1872
1872;NU_BIN_TARJETA;Tarjeta (bin);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(6);1872
1872;NU_TARJETA;Tarjeta (resto de plástico);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(19);1872
1872;TP_TARJETA;Tipo de Tarjeta (TDD TDC TCD);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(5);1872
1872;CD_OFICINA_GESTORA;Oficina gestora;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(11);1872
1872;CD_SUBPRODUCTO;Código Subproducto (TIPO DE TARJETA);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;CD_VENCIMIENTO_TDC;Fecha de vencimiento (AAMM);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_BANCO_CONTRATO;Número de Entidad del contrato;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_OFICINA_CONTRATO;Número Oficina del contrato;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;TP_CONTRATO;Contrato tipo;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;NU_CONTRATO;Número de Contrato;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(8);1872
1872;NU_CAJERO;Número de cajero;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;NU_AFILIACION;Número de comercio;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(10);1872
